metric,gpt-4o-mini (v1)_mean,gpt-4o-mini (v1)_std,gemini-2.0-flash (v1)_mean,gemini-2.0-flash (v1)_std,difference,better_model,test,p_value,significant,effect_size,effect_interpretation,n1,n2,pair,gemini-2.0-flash (v2)_mean,gemini-2.0-flash (v2)_std,gpt-4o-mini (v2)_mean,gpt-4o-mini (v2)_std,llama3.2 (v1)_mean,llama3.2 (v1)_std,llama3.2 (v2)_mean,llama3.2 (v2)_std,sonar (v1)_mean,sonar (v1)_std,sonar (v2)_mean,sonar (v2)_std,sonar-pro (v1)_mean,sonar-pro (v1)_std,sonar-pro (v2)_mean,sonar-pro (v2)_std
bertscore,0.8764955401420593,0.017262826546792228,0.8529681220650673,0.016028937588052624,0.02352741807699199,gpt-4o-mini (v1),t-test,7.788456870553364e-23,True,1.4124379411535402,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
bleu,0.09497132680589906,0.06616708101392363,0.03596411478125161,0.03000047333725123,0.059007212024647454,gpt-4o-mini (v1),Mann-Whitney U,1.1987668752439628e-16,True,1.1486317939449615,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
sari,39.515636190897354,5.119877407305335,34.70326126368673,4.203649702018998,4.812374927210627,gpt-4o-mini (v1),t-test,7.117388125065835e-14,True,1.0273590786573181,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
perplexity,25.696036505699162,5.0243409137367046,23.143504317601522,6.007748609384596,2.55253218809764,gemini-2.0-flash (v1),t-test,0.00043135792217863234,True,0.46091920124611246,small,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
fkgl_delta,-4.676379338126085,1.6479846594970189,-7.693391250396761,2.217128765316257,3.017011912270676,gemini-2.0-flash (v1),t-test,3.873775902835385e-26,True,1.5444956419430533,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
fre_delta,17.331866945023062,6.754160020905789,31.73449715941917,9.96018910387701,-14.402630214396108,gemini-2.0-flash (v1),t-test,6.397426011065168e-30,True,-1.6925303776559721,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
fkgl_output,6.875880790970697,1.265403825186631,3.858868878700021,1.2789029518603983,3.0170119122706764,gemini-2.0-flash (v1),Mann-Whitney U,2.9533697961499087e-33,True,2.371545347069369,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
fre_output,69.97071996289901,6.827285595087784,84.37335017729514,6.225283487482722,-14.402630214396126,gemini-2.0-flash (v1),t-test,3.196337382941691e-43,True,-2.2045217356443434,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v1),,,,,,,,,,,,,,,,
bertscore,0.8764955401420593,0.017262826546792228,,,0.005009121199448852,gpt-4o-mini (v1),Mann-Whitney U,0.01936928529153723,True,0.34176889916832265,small,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),0.8714864189426105,0.01147250136037975,,,,,,,,,,,,,,
bleu,0.09497132680589906,0.06616708101392363,,,0.01759409647017164,gpt-4o-mini (v1),Mann-Whitney U,0.31755641041224325,False,0.3324236773221439,small,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),0.07737723033572742,0.03499133858147054,,,,,,,,,,,,,,
sari,39.515636190897354,5.119877407305335,,,0.411330853648991,gpt-4o-mini (v1),t-test,0.48513300310289853,False,0.0902615284578115,negligible,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),39.10430533724836,3.9142284935215685,,,,,,,,,,,,,,
perplexity,25.696036505699162,5.0243409137367046,,,-0.4217475811640412,gpt-4o-mini (v1),Mann-Whitney U,0.6058426740327876,False,-0.06857378083827237,negligible,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),26.117784086863203,7.0998417734825185,,,,,,,,,,,,,,
fkgl_delta,-4.676379338126085,1.6479846594970189,,,3.5960962749165004,gemini-2.0-flash (v2),t-test,2.6292659442347554e-39,True,2.053821675775658,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),-8.272475613042586,1.8481483853578304,,,,,,,,,,,,,,
fre_delta,17.331866945023062,6.754160020905789,,,-15.535450898097668,gemini-2.0-flash (v2),t-test,8.897603076320938e-39,True,-2.0334915075285447,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),32.86731784312073,8.432920442273984,,,,,,,,,,,,,,
fkgl_output,6.875880790970697,1.265403825186631,,,3.596096274916502,gemini-2.0-flash (v2),t-test,5.771756343497025e-74,True,3.466037672042796,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),3.279784516054195,0.7427409166745429,,,,,,,,,,,,,,
fre_output,69.97071996289901,6.827285595087784,,,-15.535450898097665,gemini-2.0-flash (v2),t-test,2.904180283888732e-54,True,-2.6373700857559186,large,120,120,gpt-4o-mini (v1) vs gemini-2.0-flash (v2),85.50617086099668,4.773295726607796,,,,,,,,,,,,,,
bertscore,0.8764955401420593,0.017262826546792228,,,-0.003910744190216087,gpt-4o-mini (v2),Mann-Whitney U,0.03021422919267409,True,-0.22588663778957271,small,120,120,gpt-4o-mini (v1) vs gpt-4o-mini (v2),,,0.8804062843322754,0.017362753285421126,,,,,,,,,,,,
bleu,0.09497132680589906,0.06616708101392363,,,-0.013965390374147138,gpt-4o-mini (v2),Mann-Whitney U,0.035374357022268155,True,-0.21326178787384,small,120,120,gpt-4o-mini (v1) vs gpt-4o-mini (v2),,,0.1089367171800462,0.06479519149756231,,,,,,,,,,,,
sari,39.515636190897354,5.119877407305335,,,-1.0112559423384155,gpt-4o-mini (v2),t-test,0.12201925696828012,False,-0.20034706126816199,small,120,120,gpt-4o-mini (v1) vs gpt-4o-mini (v2),,,40.52689213323577,4.974111590121462,,,,,,,,,,,,
